,max_speed,distance,avg_corner_speed,avg_speed,short_gear_corners_prop,long_gear_corners_prop,slow_corners_prop,medium_corners_prop,fast_corners_prop,straight_prop,gear_changes_per_km,n_corners_per_km
shanghai,333.0,5386.698333333331,162.64765464517467,208.3305785123967,0.625,0.25,0.375,0.4375,0.1875,0.40604216793034115,8.168268812776168,2.9702795682822423
miami,337.0,5327.266388888888,179.84087281547403,220.59756097560975,0.5263157894736842,0.3157894736842105,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.6718727991285519,7.1331142890201304,3.5665571445100652
imola,296.0,4865.41083333333,212.6024892440898,235.5663082437276,0.3684210526315789,0.5789473684210527,0.05263157894736842,0.5789473684210527,0.3684210526315789,0.23991971120811728,7.604702103779183,3.905117296535256
monaco,280.0,3238.420833333332,146.62886238761382,164.76208178438662,0.631578947368421,0.21052631578947367,0.42105263157894735,0.47368421052631576,0.10526315789473684,0.0,14.20445407419512,5.867057117602331
villeneuve,326.0,4306.605277777775,160.71178276133307,217.3754512635379,0.7142857142857143,0.07142857142857142,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.6153659080761815,11.145669710591212,3.2508203322557705
catalunya,323.0,4633.510833333333,201.6156302363356,233.65925925925927,0.42857142857142855,0.42857142857142855,0.0,0.6428571428571429,0.35714285714285715,0.4965643827496613,7.985305598904216,3.0214669833691628
red_bull_ring,319.0,4284.68472222222,206.62704699077284,240.79916317991632,0.3,0.6,0.2,0.5,0.3,0.6455918821089767,9.33557603259413,2.3338940081485324
silverstone,323.0,5820.045833333333,226.91877681814748,248.04984423676012,0.1111111111111111,0.5,0.05555555555555555,0.4444444444444444,0.5,0.5603722026922663,6.185518298467009,3.0927591492335047
hungaroring,304.0,4331.6547222222225,175.9502543856383,210.2112676056338,0.7142857142857143,0.35714285714285715,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.20607636394394052,10.157780991700822,3.23202122463208
zandvoort,329.0,4227.596666666668,199.035176241774,220.45525291828793,0.35714285714285715,0.5,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.3294536802231256,8.515476484275146,3.3115741883292227
monza,346.0,5733.256666666666,185.95368956866056,263.48366013071893,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.83065641383437,6.627995606918,1.918630307265737
baku,317.0,5935.378055555557,162.66207187201434,209.7719298245614,0.7,0.3,0.45,0.25,0.3,0.3609025992042738,10.108875869135172,3.3696252897117236
marina_bay,304.0,4873.314999999998,162.94197612464043,198.2478134110787,0.5789473684210527,0.21052631578947367,0.2631578947368421,0.5789473684210527,0.15789473684210525,0.21956472373672606,13.13274434342948,3.8987834769556264
americas,326.0,5411.216944444443,193.76009806997533,212.2985507246377,0.45,0.45,0.3,0.3,0.4,0.3620811670282834,8.685661743474116,3.6960262738187732
rodriguez,347.0,4228.194444444444,142.3325325740106,202.28082191780825,0.7058823529411765,0.29411764705882354,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.6145162347420874,8.750780146503303,4.020628715960976
vegas,343.0,6139.951666666665,190.4656842631346,239.95467422096317,0.5294117647058824,0.47058823529411764,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.5764769015070097,7.491915652973383,2.7687514369684245
losail,322.0,5374.931666666667,223.04918379405615,240.6092715231788,0.25,0.6875,0.0625,0.5,0.4375,0.2315151451324776,5.581466307013515,2.976782030407208
yas_marina,323.0,5211.091666666668,193.37959811067037,228.103125,0.5,0.4375,0.25,0.3125,0.4375,0.48943194529196815,8.635426678031312,3.0703739299666886
spa,307.0,6933.692222222217,210.1558170726705,235.49257425742573,0.3684210526315789,0.631578947368421,0.21052631578947367,0.3684210526315789,0.42105263157894735,0.5925093129037001,6.778495279811643,2.7402427726898133
interlagos,328.0,4234.409722222223,193.91073621454095,218.68029739776952,0.4,0.4,0.2,0.5333333333333333,0.26666666666666666,0.31394537114295684,8.501775303195545,3.542406376331477
